"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia1","localidadMayusculas","codProv","factorPonderacion"
"25<U+0092> 1T  Gooolll de Dorregaray  @GuayaquilCityFC  1-0  @CSEmelec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 01:24:58,FALSE,NA,888570533226434560,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T  Gooolll de Dorregaray  GuayaquilCityFC    CSEmelec
FutbolEcuatorianoPorSucre","<U+0092>TGooollldeDorregarayGuayaquilCityFCCSEmelecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"55<U+0092> 2T   Gooolll de Mejia @UCatolicaEC 0-2 @IDV_EC
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-15 18:16:36,FALSE,NA,886288401779093504,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",1,FALSE,FALSE,NA,NA,"<U+0092> T   Gooolll de Mejia UCatolicaEC  IDVC
FutbolEcuatorianoPorSucre","<U+0092>TGooollldeMejiaUCatolicaECIDVCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @radio_sucre: 33<U+0092> 2T  Gooolll de Qui<f1>onez @LDU_Oficial  5-0  @Clan_juvenil #FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883859771174137856,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barcelucho85",1,TRUE,FALSE,NA,NA,"<U+0092> T  Gooolll de Qui<f1>onez LDUficial    Clanuvenil FutbolEcuatorianoPorSucre","<U+0092>TGooollldeQui<f1>onezLDUficialClanuvenilFutbolEcuatorianoPorSucre",2496,21,26,34,"Quito, Ecuador",0.617647058823529,"QUITO, ECUADOR","17",0
"22<U+0092> 2T Gooolll de Vides @CSEmelec  1-1  @elnacionalec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 23:01:35,FALSE,NA,886722510812839936,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",1,FALSE,FALSE,NA,NA,"<U+0092> T Gooolll de Vides CSEmelec    elnacionalec
FutbolEcuatorianoPorSucre","<U+0092>TGooollldeVidesCSEmelecelnacionalecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"45<U+0092> 1T    @GuayaquilCityFC  1-0   @CSEmelec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 01:45:38,FALSE,NA,888575732074590208,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T    GuayaquilCityFC     CSEmelec
FutbolEcuatorianoPorSucre","<U+0092>TGuayaquilCityFCCSEmelecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"5<U+0092> 1T      @GuayaquilCityFC  vs   @CSEmelec
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-22 01:04:29,FALSE,NA,888565378300784640,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T      GuayaquilCityFC  vs   CSEmelec
FutbolEcuatorianoPorSucre","<U+0092>TGuayaquilCityFCvsCSEmelecFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"RT @radio_sucre: 10<U+0092> 2T  @LDU_Oficial  3-0 @Clan_juvenil
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-08 00:00:00,FALSE,NA,883848969448828928,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","martin97_ne",1,TRUE,FALSE,NA,NA,"<U+0092> T  LDUficial   Clanuvenil
FutbolEcuatorianoPorSucre","<U+0092>TLDUficialClanuvenilFutbolEcuatorianoPorSucre",48074,237,4006,761,"Cuenca-Ecuador",0.312746386333771,"CUENCA-ECUADOR","1",0
"40<U+0092> 2T @Macara_Oficial   1-0  @BarcelonaBSC  Amarilla para Nahuelpan de Barcelona
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 18:44:36,FALSE,NA,886657836423499776,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T Macaraficial     BarcelonaBSC  Amarilla para Nahuelpan de Barcelona
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialBarcelonaBSCAmarillaparaNahuelpandeBarcelonaFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"30<U+0092> 2T@Macara_Oficial 1-0  @BarcelonaBSC  Entra ECastillo y sale Minda en Barcelona
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 18:35:14,FALSE,NA,886655480533274624,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> TMacaraficial   BarcelonaBSC  Entra ECastillo y sale Minda en Barcelona
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialBarcelonaBSCEntraECastilloysaleMindaenBarcelonaFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"35<U+0092> 2T @Macara_Oficial  1-0  @BarcelonaBSC  
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 18:39:38,FALSE,NA,886656589578600448,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T Macaraficial    BarcelonaBSC  
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialBarcelonaBSCFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
"18<U+0092> 2T @Macara_Oficial  1-0  @BarcelonaBSC  Salio D<ed>az y entro Alem<e1>n en Barcelona
#FutbolEcuatorianoPorSucre",FALSE,0,NA,2017-07-16 18:23:46,FALSE,NA,886652596412461056,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radio_sucre",0,FALSE,FALSE,NA,NA,"<U+0092> T Macaraficial    BarcelonaBSC  Salio D<ed>az y entro Alem<e1>n en Barcelona
FutbolEcuatorianoPorSucre","<U+0092>TMacaraficialBarcelonaBSCSalioD<ed>azyentroAlem<e1>nenBarcelonaFutbolEcuatorianoPorSucre",63093,54313,70,714,"Guayaquil - Ecuador",76.1809256661992,"GUAYAQUIL - ECUADOR","9",0
