"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
2017-07-17 07:07:56,0,FALSE,"886844902855856128",TRUE,NA,NA,NA,NA,NA,6,FALSE,"docteurdukan","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RadioTeleSuisse: Obésité et santé publique: à quand un impôt sur le sucre? Un débat qui gagne la Suisse. L'enquête de #15minRTS ici : h…",FALSE
2017-07-17 06:37:02,0,FALSE,"886837129514561536",TRUE,NA,NA,NA,NA,NA,2,FALSE,"ClaudineHaymoz","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RadioTeleSuisse: Faut-il taxer le sucre pour lutter contre l'obésité ? C'est la question à laquelle cherche à répondre #15minRTS &gt; http…",FALSE
2017-07-17 06:13:44,0,FALSE,"886831263360876546",TRUE,NA,NA,NA,NA,NA,2,FALSE,"pekacueca","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RadioTeleSuisse: Faut-il taxer le sucre pour lutter contre l'obésité ? C'est la question à laquelle cherche à répondre #15minRTS &gt; http…",FALSE
2017-07-17 06:00:37,1,FALSE,"886827962137542658",FALSE,NA,NA,NA,NA,NA,2,FALSE,"RadioTeleSuisse","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Faut-il taxer le sucre pour lutter contre l'obésité ? C'est la question à laquelle cherche à répondre #15minRTS &gt;… https://t.co/koWywGUOSO",TRUE
2017-07-17 03:50:42,0,FALSE,"886795269127503872",TRUE,NA,NA,NA,NA,NA,28,FALSE,"ChristianSaa5","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MinTrabajoEc: Les invitamos a seguir, este lunes las entrevistas del Ministro @raulclementelh en Radio Sucre (07h30) y Radio Centro (08…",FALSE
2017-07-17 03:10:43,0,FALSE,"886785204714704897",TRUE,NA,NA,NA,NA,NA,28,FALSE,"natasha_llerena","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MinTrabajoEc: Les invitamos a seguir, este lunes las entrevistas del Ministro @raulclementelh en Radio Sucre (07h30) y Radio Centro (08…",FALSE
2017-07-17 03:10:36,1,FALSE,"886785177980194816",FALSE,NA,NA,"886676565328789505","DelfinSC","164501242",0,FALSE,"Sandro55653906","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DelfinSC @mauro_rezabala @DeporteEc @futbolecuador @ECUAGOL @estadioec @marcadorec @MktRegistrado @radio_sucre… https://t.co/UJJc63Sbzm",TRUE
2017-07-17 03:02:28,0,FALSE,"886783130291580930",TRUE,NA,NA,NA,NA,NA,28,FALSE,"have_fenix","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @MinTrabajoEc: Les invitamos a seguir, este lunes las entrevistas del Ministro @raulclementelh en Radio Sucre (07h30) y Radio Centro (08…",FALSE
2017-07-17 02:50:26,2,FALSE,"886780103069511681",FALSE,NA,NA,"886676565328789505","DelfinSC","164501242",0,FALSE,"elpatitodelgado","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DelfinSC @mauro_rezabala @DeporteEc @futbolecuador @ECUAGOL @estadioec @marcadorec @MktRegistrado @radio_sucre… https://t.co/bkQ3kHvL9D",TRUE
2017-07-17 02:31:00,0,FALSE,"886775211844149248",TRUE,NA,NA,NA,NA,NA,3,FALSE,"S0f1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FutGooolEc: Fernando Luna @CSEmelec

""Muy contento por la victoria, creo que la necesitábamos""

Vídeo @Radio_Sucre https://t.co/K4qEdxn…",FALSE
2017-07-17 02:24:06,0,FALSE,"886773475817422850",TRUE,NA,NA,NA,NA,NA,3,FALSE,"xafer77","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FutGooolEc: Fernando Luna @CSEmelec

""Muy contento por la victoria, creo que la necesitábamos""

Vídeo @Radio_Sucre https://t.co/K4qEdxn…",FALSE
