"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated","depurado","sinEspacios","statusCount","followers","favorites","friends","location"
"2017-07-07",0,FALSE,883522142540902400,FALSE,NA,NA,883465468627046400,"MIES_Zona5",1109059164,0,FALSE,"evelins13626129","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","@MIES_Zona5 @Lopez1975Lopez @IvanEspinelM @vanessafreirev @InclusionEc @aldiacomec @radio_sucre @RadioLibre9… https://t.co/PAXsNPVBtQ",TRUE,"MIESona LopezLopez IvanEspinelM vanessafreirev InclusionEc aldiacomec radioucre RadioLibre… ","MIESonaLopezLopezIvanEspinelMvanessafreirevInclusionEcaldiacomecradioucreRadioLibre…",26,1,0,4,""
"2017-07-10",0,FALSE,884420152623845376,FALSE,NA,NA,883471741082841088,"MIES_Zona5",1109059164,0,FALSE,"Magaly38768131","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @paolaquirog @IvanEspinelM @vanessafreirev @InclusionEc @aldiacomec @radio_sucre @RadioLibre9… https://t.co/7aIUNOUtxQ",TRUE,"MIESona paolaquirog IvanEspinelM vanessafreirev InclusionEc aldiacomec radioucre RadioLibre… ","MIESonapaolaquirogIvanEspinelMvanessafreirevInclusionEcaldiacomecradioucreRadioLibre…",206,14,97,86,"Isabela, Ecuador"
"2017-07-03",6,FALSE,881913894280802304,FALSE,NA,NA,881907705786642432,"MIES_Zona5",1109059164,9,FALSE,"rafl1989","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MIES_Zona5 @Prevendrogas_Ec @IVANESPINALM @vanessafreirev @InclusionEc @aldiacomec @MundoVEOVEO @radio_sucre… https://t.co/UadoDEHHfS",TRUE,"MIESona Prevendrogasc IVANESPINALM vanessafreirev InclusionEc aldiacomec MundoVEOVEO radioucre… ","MIESonaPrevendrogascIVANESPINALMvanessafreirevInclusionEcaldiacomecMundoVEOVEOradioucre…",1930,119,1535,207,"San cristobal"
"2017-07-07",0,FALSE,883502641288019968,FALSE,NA,NA,883471763929272320,"MIES_Zona5",1109059164,0,FALSE,"Jaqueli44063126","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @s @IvanEspinelM @vanessafreirev @InclusionEc @aldiacomec @radio_sucre @RadioLibre9 Excelente",FALSE,"MIESona s IvanEspinelM vanessafreirev InclusionEc aldiacomec radioucre RadioLibre Excelente","MIESonasIvanEspinelMvanessafreirevInclusionEcaldiacomecradioucreRadioLibreExcelente",319,19,174,148,"Samborondon, Ecuador"
"2017-07-05",7,FALSE,882664257762054144,FALSE,NA,NA,882658670634467328,"MIES_Zona5",1109059164,8,FALSE,"jakycastillo11","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @vanessafreirev @InclusionEc @aldiacomec @RadioLibre9 @radio_sucre @MundoVEOVEO @lahoralosriosec… https://t.co/7RsOmAKmpQ",TRUE,"MIESona vanessafreirev InclusionEc aldiacomec RadioLibre radioucre MundoVEOVEO lahoralosriosec… ","MIESonavanessafreirevInclusionEcaldiacomecRadioLibreradioucreMundoVEOVEOlahoralosriosec…",1005,108,442,246,"San Cristobal- Galapgos"
"2017-07-08",2,FALSE,883737829234409472,FALSE,NA,NA,883469287872180224,"MIES_Zona5",1109059164,5,FALSE,"Jaqueli44063126","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @vanessafreirev @InclusionEc @aldiacomec @radio_sucre @RadioLibre9 @lahoralosriosec @DetectiveDiario… https://t.co/ZNac2SZWzY",TRUE,"MIESona vanessafreirev InclusionEc aldiacomec radioucre RadioLibre lahoralosriosec DetectiveDiario… ","MIESonavanessafreirevInclusionEcaldiacomecradioucreRadioLibrelahoralosriosecDetectiveDiario…",319,19,174,148,"Samborondon, Ecuador"
"2017-07-03",0,FALSE,881931463981228032,FALSE,NA,NA,881904808634060800,"MIES_Zona5",1109059164,0,FALSE,"redemprendimie1","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @vanessafreirev @IvanEspinelM @InclusionEc @aldiacomec @MundoVEOVEO @radio_sucre @IEPS_Ec @RadioLibre9… https://t.co/YWnFjkAjG7",TRUE,"MIESona vanessafreirev IvanEspinelM InclusionEc aldiacomec MundoVEOVEO radioucre IEPSc RadioLibre… ","MIESonavanessafreirevIvanEspinelMInclusionEcaldiacomecMundoVEOVEOradioucreIEPScRadioLibre…",409,44,344,243,"Guayas, Ecuador"
"2017-07-04",0,FALSE,882379452617027584,FALSE,NA,NA,882363017954033664,"MIES_Zona5",1109059164,1,FALSE,"JohnEnrique25","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @vanessafreirev @IvanEspinelM @InclusionEc @aldiacomec @MundoVEOVEO @radio_sucre @RadioLibre9 @IEPS_Ec… https://t.co/QEhpbd7vZQ",TRUE,"MIESona vanessafreirev IvanEspinelM InclusionEc aldiacomec MundoVEOVEO radioucre RadioLibre IEPSc… ","MIESonavanessafreirevIvanEspinelMInclusionEcaldiacomecMundoVEOVEOradioucreRadioLibreIEPSc…",849,80,1003,202,"Ecuador"
"2017-07-10",6,FALSE,884423875077033984,FALSE,NA,NA,884255688645644288,"MIES_Zona5",1109059164,6,FALSE,"rafl1989","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MIES_Zona5 @vanessafreirev @IvanEspinelM @InclusionEc @aldiacomec @radio_sucre @RadioLibre9 @lahoralosriosec… https://t.co/v0L14u1qDY",TRUE,"MIESona vanessafreirev IvanEspinelM InclusionEc aldiacomec radioucre RadioLibre lahoralosriosec… ","MIESonavanessafreirevIvanEspinelMInclusionEcaldiacomecradioucreRadioLibrelahoralosriosec…",1930,119,1535,207,"San cristobal"
"2017-07-04",0,FALSE,882438371162939392,FALSE,NA,NA,882014558285594624,"MIES_Zona5",1109059164,0,FALSE,"magalyparedesm2","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MIES_Zona5 @vanessafreirev @IvanEspinelM @Lopez1975Lopez @InclusionEc @aldiacomec @MundoVEOVEO @radio_sucre… https://t.co/fdSyYHw9yb",TRUE,"MIESona vanessafreirev IvanEspinelM LopezLopez InclusionEc aldiacomec MundoVEOVEO radioucre… ","MIESonavanessafreirevIvanEspinelMLopezLopezInclusionEcaldiacomecMundoVEOVEOradioucre…",1648,19,1199,52,"Galapagos, Ecuador"
"2017-07-08",0,FALSE,883750647476125696,TRUE,NA,NA,NA,NA,NA,2,FALSE,"MonarquicoGquil","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @radio_sucre: Mi nieta me dió la sorpresa: Leopoldo López Gil
https://t.co/b0wkvzTKVa
#SucreInforma https://t.co/0UR2FpKOvk",FALSE,"Mi nieta me dió la sorpresaLeopoldo López Gil

SucreInforma ","MinietamediólasorpresaLeopoldoLópezGilSucreInforma",9687,2645,3629,1342,"Guayaquil - Ecuador - Tierra"
"2017-07-14 19:46:04",2,FALSE,885948529721651200,FALSE,NA,NA,NA,NA,NA,2,FALSE,"ExaFmEcuador","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mira el nuevo vídeo de @MiaMont ft. @MikeBahia ""PROHIBIDO REMIX""
https://t.co/pC1IyKej1U",FALSE,"Mira el nuevo vídeo de MiaMont ftMikeBahia ROHIBIDO REMIX","MiraelnuevovídeodeMiaMontftMikeBahiaROHIBIDOREMIX",41654,39104,5901,866,"Ecuador "
"2017-07-21 13:39:32",0,FALSE,888393006004547584,TRUE,NA,NA,NA,NA,NA,2,FALSE,"VernicaVaca1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DiianaVero: Miren esa carita ;) .. Invitenlo al #JhonatanLunaEnElConciertoExa @jluna_oficial @alvaro_exa @ExaFmEcuador http://t.co/L2lg…",FALSE,"Miren esa carita   Invitenlo al JhonatanLunaEnElConciertoExa jlunaficial alvaroxa ExaFmEcuador …","MirenesacaritaInvitenloalJhonatanLunaEnElConciertoExajlunaficialalvaroxaExaFmEcuador…",777,77,1136,53,"Ecuador"
"2017-07-21 13:40:35",0,FALSE,888393268844785664,TRUE,NA,NA,NA,NA,NA,2,FALSE,"VernicaVaca1","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DiianaVero: @ExaFmEcuador miren esa carita y diganme qe no los inspira a tener en el #ConciertoExa2015 @jluna_oficial http://t.co/7duC6…",FALSE," miren esa carita y diganme qe no los inspira a tener en el ConciertoExa jlunaficial …","mirenesacaritaydiganmeqenolosinspiraatenerenelConciertoExajlunaficial…",777,77,1136,53,"Ecuador"
"2017-07-03",3,FALSE,882058769383006208,FALSE,NA,NA,NA,NA,NA,6,FALSE,"FutGooolEc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Movimiento ""Tiemblen porque volvi""
Para las próximas elecciones @CSEmelec

Ricardo Armendariz
'El cuqui' Juárez
Lui… https://t.co/UByZwOctMi",TRUE,"Movimiento iemblen porque volviPara las próximas elecciones CSEmelec

Ricardo Armendariz
l cuquiJuárez
Lui… ","MovimientoiemblenporquevolviParalaspróximaseleccionesCSEmelecRicardoArmendarizlcuquiJuárezLui…",40540,8614,1444,449,"Ecuador"
"2017-07-10",0,FALSE,884493822016839680,FALSE,NA,NA,NA,NA,NA,0,FALSE,"GYE_AAG","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Multan a aerolínea por realizar pruebas de embarazo https://t.co/0YntaFhrf6 vía @radio_sucre",FALSE,"Multan a aerolínea por realizar pruebas de embarazo  vía radioucre","Multanaaerolíneaporrealizarpruebasdeembarazovíaradioucre",4544,4626,1177,1119,"Guayaquil, Ecuador"
"2017-07-23 16:59:28",0,FALSE,889168095096471552,TRUE,NA,NA,NA,NA,NA,1,FALSE,"ExaFmEcuador","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ExamovilEcuador: No te pierdas el fin de semana Chevrolet en todos sus concesionarios a nivel nacional. ¡Los esperamos! #YoCREOenlaRADI…",FALSE,"No te pierdas el fin de semana Chevrolet en todos sus concesionarios a nivel nacionalos esperamosYoCREOenlaRADI…","NotepierdaselfindesemanaChevroletentodossusconcesionariosanivelnacionalosesperamosYoCREOenlaRADI…",41654,39104,5901,866,"Ecuador "
"2017-07-03",45,FALSE,882046634825330688,FALSE,NA,NA,NA,NA,NA,23,FALSE,"SoldadosDelKitu","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Nosotros tenemos que salir a proponer nuestro juego, hacer sentir nuestra casa"". R.Calderón. <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>: @radio_sucre #BSC https://t.co/BBCWehr1xS",FALSE,"osotros tenemos que salir a proponer nuestro juegohacer sentir nuestra casa RalderóndUAUBCedUBEUA radioucre BSC ","osotrostenemosquesaliraproponernuestrojuegohacersentirnuestracasaRalderóndUAUBCedUBEUAradioucreBSC",26563,6993,655,186,""
"2017-07-05",0,FALSE,882502101506674688,TRUE,NA,NA,NA,NA,NA,23,FALSE,"ArgenisQuiroz","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SoldadosDelKitu: ""Nosotros tenemos que salir a proponer nuestro juego, hacer sentir nuestra casa"". R.Calderón. <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>: @radio_sucre #BSC htt…",FALSE,"osotros tenemos que salir a proponer nuestro juegohacer sentir nuestra casa RalderóndUAUBCedUBEUA radioucre BSC htt…","osotrostenemosquesaliraproponernuestrojuegohacersentirnuestracasaRalderóndUAUBCedUBEUAradioucreBSChtt…",48689,596,9293,317,"Guayaquil"
