"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","depurado","sinEspacios","statusCount","followers","favorites","friends","location","relevancia1","localidadMayusculas","codProv","factorPonderacion"
"@Lenin @MashiRafael @fevillavicencio @ppsesa @MVEspinosaS @CarlosVerareal @ExaFmEcuador @alvaro_exa https://t.co/SU647phnPD",FALSE,0,"Lenin",2017-07-13 02:17:38,FALSE,NA,885322296004628480,913131817,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","domainillum",0,FALSE,FALSE,NA,NA,"Lenin MashiRafael fevillavicencio ppsesa MVEspinosaS CarlosVerareal ExaFmEcuador alvaroxa","LeninMashiRafaelfevillavicencioppsesaMVEspinosaSCarlosVerarealExaFmEcuadoralvaroxa",2055,196,2147,2316,"Samara, Rusia",0.0846286701208981,"SAMARA, RUSIA","25",0
"@Lenin se re<fa>ne con medios de comunicaci<f3>n. Muy claro mensaje de que las PUERTAS EST<c1>N ABIERTAS. @democraciaec<U+0085> https://t.co/jxvjmML885",FALSE,5,"Lenin",2017-07-13 02:35:18,TRUE,NA,885326740561817600,913131817,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rmanciati",1,FALSE,FALSE,NA,NA,"Lenin se re<fa>ne con medios de comunicaci<f3>nMuy claro mensaje de que las PUERTAS EST<c1>N ABIERTASdemocraciaec<U+0085>","Leninsere<fa>neconmediosdecomunicaci<f3>nMuyclaromensajedequelasPUERTASEST<c1>NABIERTASdemocraciaec<U+0085>",7739,1886,90,2452,"Ecuador",0.769168026101142,"ECUADOR","25",0
"RT @radio_sucre: Leonardo Alvarado representante de la Asociaci<f3>n de Distribuidores de Combustible anunci<f3> apertura al dialogo con el gobie<U+0085>",FALSE,0,NA,2017-07-10 00:00:00,FALSE,NA,884434407683231744,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Cristhyn3000",1,TRUE,FALSE,NA,NA,"Leonardo Alvarado representante de la Asociaci<f3>n de Distribuidores de Combustible anunci<f3> apertura al dialogo con el gobie<U+0085>","LeonardoAlvaradorepresentantedelaAsociaci<f3>ndeDistribuidoresdeCombustibleanunci<f3>aperturaaldialogoconelgobie<U+0085>",250883,2120,207814,2646,"Guayaquil-Ecuador",0.801209372637944,"GUAYAQUIL-ECUADOR","9",0
"@lftorrest @ExaFmEcuador Cuando te vas a vivir a Marte, que has hecho? Que ley has sacado? Nada solo bla bla bla",FALSE,0,"lftorrest",2017-07-13 12:43:28,FALSE,885143029476196352,885479792639975424,142933563,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Granfaz007",0,FALSE,FALSE,NA,NA,"lftorrest ExaFmEcuador Cuando te vas a vivir a Marteque has hechoQue ley has sacadoNada solo bla bla bla","lftorrestExaFmEcuadorCuandotevasaviviraMartequehashechoQueleyhassacadoNadasoloblablabla",6238,463,179,1893,NA,0.244585314315901,NA,"25",0
"@lftorrest @ExaFmEcuador Una cosa es ""saber hacer"" y otra ""hacer saber"".",FALSE,0,"lftorrest",2017-07-13 18:17:19,FALSE,885143029476196352,885563809989099520,142933563,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mercadologus",0,FALSE,FALSE,NA,NA,"lftorrest ExaFmEcuador Una cosa es aber hacery otra acer saber","lftorrestExaFmEcuadorUnacosaesaberhaceryotraacersaber",269,6,246,53,NA,0.113207547169811,NA,"25",0
"Linda noche!!! me ayudan con la canci<f3>n #LoDigo de #CarlosRivera gracias @ExaFmEcuador <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B8><U+008A>",FALSE,0,NA,2017-07-15 01:54:18,FALSE,NA,886041197877362688,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Meli_Magdiel",0,FALSE,FALSE,NA,NA,"Linda nocheme ayudan con la canci<f3>n LoDigo de CarlosRivera gracias ExaFmEcuador dUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA>","Lindanochemeayudanconlacanci<f3>nLoDigodeCarlosRiveragraciasExaFmEcuadordUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA>",918,29,96,27,"Ecuador",1.07407407407407,"ECUADOR","25",0
"RT @loveforjobdiel: Linda tarde @ExaFmEcuador pueden sonar la cancion #Duele de @GemeliersMusic ft @Ventinoficial y saludos para el fanclub<U+0085>",FALSE,0,NA,2017-07-22 03:01:57,FALSE,NA,888594938685947904,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VentinoE",1,TRUE,FALSE,NA,NA,"Linda tarde ExaFmEcuador pueden sonar la cancion Duele de GemeliersMusic ft Ventinoficial y saludos para el fanclub<U+0085>","LindatardeExaFmEcuadorpuedensonarlacancionDueledeGemeliersMusicftVentinoficialysaludosparaelfanclub<U+0085>",2146,154,1037,74,"Ecuador",2.08108108108108,"ECUADOR","25",0
"Linda tarde @ExaFmEcuador pueden sonar la cancion #Duele de @GemeliersMusic ft @Ventinoficial y saludos para el fanclub @VentinoE gracias<U+2764>",FALSE,1,NA,2017-07-21 21:59:04,FALSE,NA,888518715511234560,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loveforjobdiel",1,FALSE,FALSE,NA,NA,"Linda tarde ExaFmEcuador pueden sonar la cancion Duele de GemeliersMusic ft Ventinoficial y saludos para el fanclub VentinoE gracias>","LindatardeExaFmEcuadorpuedensonarlacancionDueledeGemeliersMusicftVentinoficialysaludosparaelfanclubVentinoEgracias>",493,19,92,129,"Guayaquil, Ecuador",0.147286821705426,"GUAYAQUIL, ECUADOR","9",0
"Lindo dia @ExaFmEcuador pueden sonar #MeEquivoque de @Ventinoficial y saludos para @VentinoE gracias<U+2764><U+2728>",FALSE,0,NA,2017-07-13 18:27:56,FALSE,NA,885566481450364928,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joemi_richlena",0,FALSE,FALSE,NA,NA,"Lindo dia ExaFmEcuador pueden sonar MeEquivoque de Ventinoficial y saludos para VentinoE graciasU>","LindodiaExaFmEcuadorpuedensonarMeEquivoquedeVentinoficialysaludosparaVentinoEgraciasU>",NA,NA,NA,NA,NA,0,NA,"25",0
"RT @AnimaInside: Listos en @ExaFmEcuador junto a @edwinernestoexa @Angelicamillans rumbo al @RockShoutFest https://t.co/SDaBSeheC2",FALSE,0,NA,2017-07-20 19:39:58,FALSE,NA,888121321497870336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chrisdrumblack",12,TRUE,FALSE,NA,NA,"Listos en ExaFmEcuador junto a edwinernestoexa Angelicamillans rumbo al RockShoutFest","ListosenExaFmEcuadorjuntoaedwinernestoexaAngelicamillansrumboalRockShoutFest",580,45,122,68,NA,0.661764705882353,NA,"25",0
