"n";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"localidad"
"936";"@AlejaDuqueR @LoroHomero @CanelaRadioEc jaja.. que miedo!!";FALSE;0;"AlejaDuqueR";2017-07-12 03:03:25;FALSE;"884798268995141633";"884971429334323201";"91361382";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Edgar13H";0;FALSE;FALSE;NA;NA;""
"937";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/lLmZjRcLGZ";FALSE;0;NA;2017-07-12 02:46:34;FALSE;NA;"884967189656338432";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"kdiazyepez";3;TRUE;FALSE;NA;NA;"vivo en guayaquil"
"938";"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Y9NoPcCYQV";FALSE;0;NA;2017-07-12 02:46:23;FALSE;NA;"884967142176808960";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"kdiazyepez";4;TRUE;FALSE;NA;NA;"vivo en guayaquil"
"939";"RT @apguayas: Sigue el recorrido y llegada de @MashiRafael al aeropuerto de #Tababela a través de FB LIVE: https://t.co/OxwSdshe2R ó por @C…";FALSE;0;NA;2017-07-12 02:29:01;FALSE;NA;"884962774690013185";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"vcarrionjimenez";14;TRUE;FALSE;NA;NA;""
"940";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 02:04:46;FALSE;NA;"884956668555124745";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"PatoVal15";18;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"941";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 02:01:48;FALSE;NA;"884955924728819712";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"gabbomontenegro";18;TRUE;FALSE;NA;NA;""
"942";"Falta pocos días para tener al #1 del <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> en Ecuador 
#DaddyEnQuito 
@daddy_yankee este 10 de Agosto
@DYARMY_EQUADOR… https://t.co/niC8Iu1fHV";FALSE;1;NA;2017-07-12 01:35:16;TRUE;NA;"884949245224243203";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Nanda_DYARMY";2;FALSE;FALSE;NA;NA;"Ecuador"
"943";"RT @mavie_ro: Esperando con ansias agosto <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#DaddyEnQuito gracias a @CanelaRadioEc 
@daddy_yankee https://t.co/AxjLaZbz2U";FALSE;0;NA;2017-07-12 01:29:18;FALSE;NA;"884947746230333441";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Nanda_DYARMY";3;TRUE;FALSE;NA;NA;"Ecuador"
"944";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 01:24:48;FALSE;NA;"884946611796930560";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"dennyskitap";18;TRUE;FALSE;NA;NA;"Manabi, Ecuador"
"945";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 01:20:17;FALSE;NA;"884945475635425281";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"sebastianpaezv";18;TRUE;FALSE;NA;NA;""
"946";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 01:15:59;FALSE;NA;"884944392162869248";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"fernogales71";18;TRUE;FALSE;NA;NA;"Quito, Ecuador"
"947";"@FelipaoCaicedo @PATODIAZGUEVARA @LoroHomero @CanelaRadioEc https://t.co/a62ZBTJhiK";FALSE;0;"FelipaoCaicedo";2017-07-12 01:11:56;FALSE;NA;"884943375396478977";"884556398";"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"chinitaesc";0;FALSE;FALSE;NA;NA;"Cayambe, Ecuador"
"948";"#DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>  
 #DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>  
 #DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>  
 #DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>  
 #DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>  
 #DaddyEnQuito <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
@CanelaRadioEc";FALSE;0;NA;2017-07-12 01:02:27;FALSE;NA;"884940989533704192";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"stefamatyualex";0;FALSE;FALSE;NA;NA;"Quito, Ecuador"
"949";"RT @IEPI_Ecuador: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> #IEPIenMedios

MAÑANA a las 9h00, no te pierdas la entrevista a @pscevallos, en @CanelaRadioEc | #IEPIaporta https://t.…";FALSE;0;NA;2017-07-12 00:32:51;FALSE;NA;"884933539921317889";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"Gisel94427423";18;TRUE;FALSE;NA;NA;""
