"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@labrujaecuador quiero escuchar a @JelozMusic con ""maquina de amores"". Saludos.",FALSE,0,"labrujaecuador",2017-07-28 16:42:24,FALSE,NA,"890975739427917826","82985256","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rodolf_za",0,FALSE,FALSE,NA,NA
"Retweeted JC Radio La Bruja (@labrujaecuador):

París Saint Germain tiene el “sí” de Neymar, pese a los esfuerzos del FC Barcelona",FALSE,0,NA,2017-07-28 16:32:34,FALSE,NA,"890973264608198659",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cesarchandi",0,FALSE,FALSE,NA,NA
"París Saint Germain tiene el “sí” de Neymar, pese a los esfuerzos del FC Barcelona",FALSE,1,NA,2017-07-28 16:30:02,FALSE,NA,"890972627564609540",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",2,FALSE,FALSE,NA,NA
"Samsung continúa en la cima de la fabricación de chips de memoria",FALSE,0,NA,2017-07-28 16:00:01,FALSE,NA,"890965073992306688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"RT @Paulycma: Suena #APUNTOCARAMELO d @SoyDanielBeta feat @Alkilados en @labrujaecuador @dbfansuio @BorkisEC @AlfredoViteri y con esto list…",FALSE,0,NA,2017-07-28 15:22:14,FALSE,NA,"890955564255248385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geovy_ec",2,TRUE,FALSE,NA,NA
"Jeff Bezos, de Amazon, desplaza a Bill Gates y ahora es el hombre más rico del mundo",FALSE,1,NA,2017-07-28 15:00:03,FALSE,NA,"890949983729360897",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"Retweeted Genaro Fan Club Ec (@GenaroFanClubEc):

@labrujaecuador  hola nos ayudas con #NireggaetonNiRock de... https://t.co/SLXKnrkvSs",FALSE,0,NA,2017-07-28 14:52:22,FALSE,NA,"890948049857630208",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KiaveNove",0,FALSE,FALSE,NA,NA
"RT @GenaroFanClubEc: @labrujaecuador  hola nos ayudas con #NireggaetonNiRock de @GenaroMeCachas gracias @KiaveNove",FALSE,0,NA,2017-07-28 14:52:20,FALSE,NA,"890948041557123073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KiaveNove",1,TRUE,FALSE,NA,NA
"Retweeted DayaNataly <ed><U+00A0><U+00BC><ed><U+00BD><U+009F> (@dayanataly94):

Holaa @labrujaecuador  porfa la canción #NiReggaetónNiRock de... https://t.co/I2HS1WcPDz",FALSE,0,NA,2017-07-28 14:52:18,FALSE,NA,"890948032962940928",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KiaveNove",0,FALSE,FALSE,NA,NA
"RT @dayanataly94: Holaa @labrujaecuador  porfa la canción #NiReggaetónNiRock de @GenaroMeCachas gracias @KiaveNove @GenaroFanClubEc <ed><U+00A0><U+00BC><ed><U+00BE><U+00B8>",FALSE,0,NA,2017-07-28 14:52:15,FALSE,NA,"890948021009166336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KiaveNove",1,TRUE,FALSE,NA,NA
"Holaa @labrujaecuador  porfa la canción #NiReggaetónNiRock de @GenaroMeCachas gracias @KiaveNove @GenaroFanClubEc <ed><U+00A0><U+00BC><ed><U+00BE><U+00B8>",FALSE,1,NA,2017-07-28 14:46:21,FALSE,NA,"890946532618498048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dayanataly94",1,FALSE,FALSE,NA,NA
"Hola @labrujaecuador xfa la canción  #QuedateConmigo de @jesusmiranda Gracias @chynomiranda_ec
@ArtistGrup 
@pvillalobosm 
@UniversalMusicE",FALSE,0,NA,2017-07-28 14:40:15,FALSE,NA,"890944999021584386",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dayanataly94",0,FALSE,FALSE,NA,NA
"Steven Spielberg habla sobre su vida y carrera en documental de HBO",FALSE,0,NA,2017-07-28 14:30:02,FALSE,NA,"890942426499739650",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",1,FALSE,FALSE,NA,NA
"@labrujaecuador x fa me inscriben para ganarme el kit...gracias",FALSE,0,"labrujaecuador",2017-07-28 14:18:15,FALSE,NA,"890939462435442688","82985256","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sornoza_erika",0,FALSE,FALSE,NA,NA
"Katy Perry será la presentadora de los premios MTV Video Music Awards",FALSE,3,NA,2017-07-28 14:00:04,FALSE,NA,"890934887674388480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","labrujaecuador",0,FALSE,FALSE,NA,NA
"Sonaba en @labrujaecuador #UNO de @SoyDanielBeta @dbfansuio @BorkisEC @AlfredoViteri lista para el concierto en Riobamba!!!!",FALSE,0,NA,2017-07-28 13:40:56,FALSE,NA,"890930071686569985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Paulycma",0,FALSE,FALSE,NA,NA
