"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@CanelaRadioEc Claro q seré maaaas feliz si me regalan una entradita a #salsaviva , jjj q dicen <ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> @Pepetoala",FALSE,0,"CanelaRadioEc",2017-07-30 14:23:07,FALSE,"891664740233220097","891665462039326720","2411790656","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DcTatoo",0,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/PtGDrNLaKx",FALSE,0,NA,2017-07-30 14:23:03,FALSE,NA,"891665445752885248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Marcoviniciooe",2,TRUE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/JufWPtZ1wj",FALSE,9,NA,2017-07-30 14:21:59,FALSE,NA,"891665178227597312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/ubCFqQfmy5",FALSE,2,NA,2017-07-30 14:21:47,FALSE,NA,"891665126486573056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Fz5poiv1Ai",FALSE,2,NA,2017-07-30 14:21:21,FALSE,NA,"891665020567867392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Dw1Bylsn9E",FALSE,4,NA,2017-07-30 14:21:10,FALSE,NA,"891664973465874432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/MPbO0zyrXs",FALSE,4,NA,2017-07-30 14:20:49,FALSE,NA,"891664883749703680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/QYwRdWaIUr",FALSE,0,NA,2017-07-30 14:20:19,FALSE,NA,"891664759023689728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","albodanny",7,TRUE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Mkwshgc5Cy",FALSE,0,NA,2017-07-30 14:20:16,FALSE,NA,"891664746407231488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","albodanny",3,TRUE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/QKnMW7Fd3H",FALSE,16,NA,2017-07-30 14:20:15,FALSE,NA,"891664740233220097",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",5,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/4l5b0tRu3S",FALSE,4,NA,2017-07-30 14:19:59,FALSE,NA,"891664676542709761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",1,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/KiVq0cpEB8",FALSE,2,NA,2017-07-30 14:19:49,FALSE,NA,"891664631760121856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",0,FALSE,FALSE,NA,NA
"#TienesQueSerFeliz https://t.co/Snhi04ZLAJ",FALSE,11,NA,2017-07-30 14:19:37,FALSE,NA,"891664582665699329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CanelaRadioEc",5,FALSE,FALSE,NA,NA
"RT @CanelaRadioEc: #TienesQueSerFeliz https://t.co/Mkwshgc5Cy",FALSE,0,NA,2017-07-30 14:19:33,FALSE,NA,"891664564328300544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FERBUSTAMANTEG",3,TRUE,FALSE,NA,NA
