;text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;
15;RT @VanesaMartinEc: ¡Muchas gracias! @de_VasquezP @JoyaStereo escuchando a full esa hermosa Complicidad de @vanesamartin_ <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764><ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>  @oval_sound…;FALSE;0;NA;08/07/2017 22:30;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";VMUru4;8;TRUE;FALSE;NA;NA;
16;@JoyaStereo @de_VasquezP #AltaTensión porfa me complacen con la canción #NecesitoTuAmor de @Legarda y un saludo para el club hermoso sábado;FALSE;2;JoyaStereo;08/07/2017 22:29;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";LegardaEcuador;0;FALSE;FALSE;NA;NA;
17;RT @VanesaMartinEc: ¡Muchas gracias! @de_VasquezP @JoyaStereo escuchando a full esa hermosa Complicidad de @vanesamartin_ <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764><ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>  @oval_sound…;FALSE;0;NA;08/07/2017 22:28;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";oval_sound;8;TRUE;FALSE;NA;NA;
18;@JoyaStereo @de_VasquezP por favor me ayudas con lo digo de @_CarlosRivera Saludos @RiveristasEc;FALSE;2;JoyaStereo;08/07/2017 22:28;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;0;FALSE;FALSE;NA;NA;
19;@JoyaStereo @de_VasquezP Buena tarde Paolita xfa un tema de jessi y joy dueles porfa gracias;FALSE;2;JoyaStereo;08/07/2017 22:07;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";gladys_jeaneth;0;FALSE;FALSE;NA;NA;
20;¡Muchas gracias! @de_VasquezP @JoyaStereo escuchando a full esa hermosa Complicidad de @vanesamartin_ <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><U+2764><ed><U+00A0><U+00BD><ed><U+00B3><U+00BB>… https://t.co/ovkqpcvc9u;FALSE;9;NA;08/07/2017 21:54;TRUE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";VanesaMartinEc;8;FALSE;FALSE;NA;NA;
21;@VanesaMartinEc @JoyaStereo @de_VasquezP @vanesamartin_ Si si que suene fuerte su música en #AltaTensión por fa <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>;FALSE;3;VanesaMartinEc;08/07/2017 21:43;FALSE;8,84E+17;8,84E+17;3502924696;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";Vmlatinoameric;1;FALSE;FALSE;NA;NA;
22;@JoyaStereo @de_VasquezP Buenas tardes Pao #FelizFindeSemana nos super encantaría escuchar #Complicidad de… https://t.co/UXPdtyF9RE;FALSE;5;JoyaStereo;08/07/2017 21:37;TRUE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";VanesaMartinEc;1;FALSE;FALSE;NA;NA;
23;@JoyaStereo @de_VasquezP En esta tarde soleada deseamos escuchar a Carlos Rivera Lo Digo nos complaces por favor te… https://t.co/w24xUOwtBB;FALSE;2;JoyaStereo;08/07/2017 21:34;TRUE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;0;FALSE;FALSE;NA;NA;
24;El sol <ed><U+00A0><U+00BC><ed><U+00BC><U+009E>, la música <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> tu y yo <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> en #AltaTension .! programa tu canción favorita en esta soleada tarde, contigo @de_vasquezp <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>;FALSE;13;NA;08/07/2017 21:32;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";JoyaStereo;4;FALSE;FALSE;NA;NA;
25;RT @NStefita: @JoyaStereo Hola Joyita por favor me pueden complacer con la canción Lo Digo de #CarlosRivera... Saludos desde Quito.. Linda…;FALSE;0;NA;08/07/2017 21:13;FALSE;NA;8,84E+17;NA;"<a href=\http://wuxi.cuxibamba.com\"" rel=\""nofollow\"">wuxi-speaker</a>""";SFQuito;1;TRUE;FALSE;NA;NA;
26;@JoyaStereo Hola Joyita por favor me pueden complacer con la canción Lo Digo de #CarlosRivera... Saludos desde Quito.. Linda Tarde;FALSE;1;JoyaStereo;08/07/2017 21:09;FALSE;NA;8,84E+17;275140097;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";NStefita;1;FALSE;FALSE;NA;NA;
27;RT @IsabelChilig: @JoyaStereo @ruthvargas28 Queremos escuchar lo digo de @_CarlosRivera Carlos gracias;FALSE;0;NA;08/07/2017 19:33;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;1;TRUE;FALSE;NA;NA;
28;RT @tamyocampot: @JoyaStereo @ruthvargas28 Queremos escuchar a @GdZOficial  y a #CarlosRivera por favor hermosa #YoSoyRiverista #YoSoyJoya;FALSE;0;NA;08/07/2017 19:33;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;2;TRUE;FALSE;NA;NA;
29;RT @pauliRyK: Suena en @JoyaStereo Un amor de Verdad de @ReikMx <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4>la luz que ilumine mi andar<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> mil gracias @ruthvargas28 @MundoReikEc @So…;FALSE;0;NA;08/07/2017 18:19;FALSE;NA;8,84E+17;NA;"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""";MundoReikEc;1;TRUE;FALSE;NA;NA;
30;@JoyaStereo @ruthvargas28 Joya es muy especial para todos <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> nos complacer con Lo Digo de Carlos Rivera te escucha… https://t.co/Ffmb5egc;FALSE;0;JoyaStereo;08/07/2017 17:29;TRUE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";kate1982marilyn;0;FALSE;FALSE;NA;NA;
31;Traigo los nervios templados si la tierra tiembla.... #SoyValiente de @faustominoz en @JoyaStereo;FALSE;0;NA;08/07/2017 17:26;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";rvelozl;0;FALSE;FALSE;NA;NA;
32;Nuestra tarde  es más que especial porque nos acompañas !! Abrazos gente Joya .. Junto a ti @ruthvargas28;FALSE;6;NA;08/07/2017 17:21;FALSE;NA;8,84E+17;NA;"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""";JoyaStereo;1;FALSE;FALSE;NA;NA;
33;@JoyaStereo @ruthvargas28 Queremos escuchar lo digo de @_CarlosRivera Carlos gracias;FALSE;2;JoyaStereo;08/07/2017 17:14;FALSE;8,84E+17;8,84E+17;275140097;"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""";IsabelChilig;1;FALSE;FALSE;NA;NA;
